"string","num","next_word","nchar"
NA,18,"am",NA
NA,18,"the",NA
NA,18,"a",NA
NA,18,"year",NA
NA,18,"out",NA
NA,18,"day",NA
NA,18,"this",NA
NA,18,"and",NA
NA,18,"of",NA
NA,18,"that",NA
NA,18,"true",NA
NA,18,"with",NA
NA,18,"and",NA
NA,18,"you",NA
NA,18,"see",NA
NA,18,"to",NA
NA,18,"on",NA
NA,18,"do",NA
NA,18,"it",NA
NA,18,"the",NA
NA,18,"old",NA
NA,18,"i",NA
NA,18,"hard",NA
NA,18,"to",NA
NA,18,"the",NA
NA,18,"be",NA
NA,18,"the",NA
NA,17,"i",NA
NA,17,"start",NA
NA,17,"release",NA
NA,17,"a",NA
NA,17,"to",NA
NA,17,"time",NA
NA,17,"most",NA
NA,17,"columbia",NA
NA,17,"asked",NA
NA,17,"of",NA
NA,17,"did",NA
NA,17,"saw",NA
NA,17,"we",NA
NA,17,"year",NA
NA,17,"area",NA
NA,17,"favor",NA
NA,17,"a",NA
NA,17,"to",NA
NA,17,"got",NA
NA,17,"your",NA
NA,17,"in",NA
NA,17,"days",NA
NA,17,"to",NA
NA,17,"your",NA
NA,17,"family",NA
NA,17,"at",NA
NA,17,"country",NA
NA,17,"at",NA
NA,17,"the",NA
NA,17,"cholesterol",NA
NA,17,"lot",NA
NA,17,"the",NA
NA,17,"with",NA
NA,17,"i",NA
NA,17,"be",NA
NA,17,"of",NA
NA,17,"well",NA
NA,17,"have",NA
NA,17,"be",NA
NA,17,"it",NA
NA,17,"say",NA
NA,17,"to",NA
NA,17,"on",NA
NA,17,"say",NA
NA,17,"of",NA
NA,17,"you",NA
NA,17,"that",NA
NA,17,"so",NA
NA,17,"not",NA
NA,17,"a",NA
NA,17,"the",NA
NA,17,"the",NA
NA,17,"same",NA
NA,17,"do",NA
NA,17,"to",NA
NA,17,"is",NA
NA,17,"the",NA
NA,17,"and",NA
NA,17,"the",NA
NA,17,"months",NA
NA,17,"now",NA
NA,17,"to",NA
NA,17,"to",NA
NA,17,"be",NA
NA,17,"with",NA
NA,17,"follow",NA
NA,17,"in",NA
NA,17,"the",NA
NA,17,"incorporated",NA
NA,17,"services",NA
NA,17,"and",NA
NA,17,"the",NA
NA,17,"the",NA
NA,17,"in",NA
NA,17,"days",NA
NA,17,"years",NA
NA,17,"salt",NA
NA,17,"do",NA
NA,17,"rt",NA
NA,17,"your",NA
NA,17,"for",NA
NA,17,"have",NA
NA,17,"hope",NA
NA,17,"do",NA
NA,17,"to",NA
NA,17,"be",NA
NA,17,"me",NA
NA,17,"year",NA
NA,17,"saw",NA
NA,17,"my",NA
NA,17,"the",NA
NA,17,"lord",NA
NA,17,"world",NA
NA,17,"weeks",NA
NA,17,"the",NA
NA,17,"lives",NA
NA,17,"great",NA
NA,17,"year",NA
NA,17,"comapny",NA
NA,17,"the",NA
NA,17,"to",NA
NA,17,"say",NA
NA,17,"my",NA
NA,17,"are",NA
NA,17,"a",NA
NA,17,"year",NA
NA,17,"who",NA
NA,17,"day",NA
NA,17,"you",NA
NA,17,"of",NA
NA,17,"to",NA
NA,17,"the",NA
NA,17,"you",NA
NA,17,"the",NA
NA,17,"i",NA
NA,17,"day",NA
NA,17,"a",NA
NA,17,"fun",NA
NA,17,"thank",NA
NA,17,"about",NA
NA,17,"to",NA
NA,17,"done",NA
NA,17,"chance",NA
NA,17,"me",NA
NA,17,"the",NA
NA,17,"to",NA
NA,17,"worry",NA
NA,17,"be",NA
NA,16,"time",NA
NA,16,"in",NA
NA,16,"my",NA
NA,16,"half",NA
NA,16,"do",NA
NA,16,"say",NA
NA,16,"through",NA
NA,16,"idea",NA
NA,16,"public",NA
NA,16,"follow",NA
NA,16,"but",NA
NA,16,"of",NA
NA,16,"of",NA
NA,16,"a",NA
NA,16,"april",NA
NA,16,"of",NA
NA,16,"and",NA
NA,16,"i",NA
NA,16,"admit",NA
NA,16,"i",NA
NA,16,"back",NA
NA,16,"it",NA
NA,16,"the",NA
NA,16,"your",NA
NA,16,"mg",NA
